ID	OFFSet	Org. String	TA. String
95	42885	Ver.	版本。
96	43243	SN	序號
97	43602	Model	模型
98	43971	Manufacturer	製造商
99	44459	Phy IO:	物理輸入輸出：
100	44784	Setting	環境
101	45078	Load	載入
102	45356	SubID	子ID
103	45676	Ver.	版本。
104	46034	SN	序號
105	46393	Model	模型
106	46762	Manufacturer	製造商
107	47250	Phy IO:	物理輸入輸出：
108	47575	Setting	環境
109	47872	Chamber(Disabled)	會議廳（殘障人士）
110	48163	SubID	子ID
111	48483	Ver.	版本。
112	48841	SN	序號
113	49200	Model	模型
114	49569	Manufacturer	製造商
115	50057	Phy IO:	物理輸入輸出：
116	50382	Setting	環境
117	50679	IO Ctrl	IO控制
118	50960	SubID	子ID
119	51280	Ver.	版本。
120	51638	SN	序號
121	51997	Model	模型
122	52366	Manufacturer	製造商
123	52653	Phy IO:	物理輸入輸出：
124	52978	Setting	環境
125	53272	Comm(Disabled)	通訊（已停用）
126	53560	SubID	子ID
127	53880	Ver.	版本。
128	54238	SN	序號
129	54597	Model	模型
130	54966	Manufacturer	製造商
131	55454	Phy IO:	物理輸入輸出：
132	55779	Setting	環境
133	56072	DAQ	數據採集
134	56349	SubID	子ID
135	56669	Ver.	版本。
136	57027	SN	序號
137	57386	Model	模型
138	57755	Manufacturer	製造商
139	58243	Phy IO:	物理輸入輸出：
140	58568	Setting	環境
141	58868	PowerMeter	功率計
142	59152	SubID	子ID
143	59472	Ver.	版本。
144	59830	SN	序號
145	60189	Model	模型
146	60558	Manufacturer	製造商
147	61046	Phy IO:	物理輸入輸出：
148	61371	Setting	環境
149	61801	InstScan	掃描儀
150	62079	Available Inst. Lists:	可用的研究所。列表：
151	62976	Can_Log List	Can_Log 列表
152	63939	CAN Setting	CAN 設定
153	65593	VisDisplay	可見顯示
154	66033	Multicolumn Listbox	多列列錶框
155	67638	Waveform Graph 13	波形圖13
156	69330	Waveform Graph 12	波形圖12
157	71022	Waveform Graph 11	波形圖11
158	72714	Waveform Graph 10	波形圖10
159	74405	Waveform Graph 9	波形圖9
160	76095	Waveform Graph 8	波形圖8
161	77785	Waveform Graph 7	波形圖7
162	79514	Waveform Graph 6	波形圖6
163	81204	Waveform Graph 5	波形圖5
164	82894	Waveform Graph 4	波形圖4
165	84584	Waveform Graph 3	波形圖3
166	86255	Waveform Graph 2	波形圖2
167	87943	Waveform Graph	波形圖
168	89067	InputMeas Refnum	輸入測量引用句柄
169	89275	Power	力量
170	89618	Setting	環境
171	89837	SubID	子ID
172	90129	Ver.	版本。
173	90418	SN	序號
174	90708	Model	模型
175	91008	Manufacturer	製造商
176	91441	IO	IO
177	91713	OutputMeas Refnum	輸出測量引用句柄
178	91923	Power	力量
179	92266	Setting	環境
180	92485	SubID	子ID
181	92777	Ver.	版本。
182	93066	SN	序號
183	93356	Model	模型
184	93656	Manufacturer	製造商
185	94089	IO	IO
186	94345	SystemState	系統狀態
187	94607	Cluster	簇
188	94874	Value	價值
189	95180	Direction	方向
190	95476	Name	姓名
191	95777	OP Info	操作資訊
192	96263		
193	96779	Battery Model:	電池型號：
194	97095	Lot No.	批號
195	97444	FileName:	檔案名稱：
196	97927		
197	98413	Department:	部門：
198	98857		
199	99343	Operator:	操作員：
200	99735	ExecSeqList	執行序列表
201	100241	discharge_table	放電表
202	100458	Numeric Control	數控
