ID	OFFSet	Org. String	TA. String
109	47872	Chamber(Disabled)	챔버(비활성화)
110	48163	SubID	하위 ID
111	48483	Ver.	버전
112	48841	SN	SN
113	49200	Model	모델
114	49569	Manufacturer	제조업체
115	50057	Phy IO:	물리적 IO:
116	50382	Setting	환경
117	50679	IO Ctrl	IO 컨트롤
118	50960	SubID	하위 ID
119	51280	Ver.	버전
120	51638	SN	SN
121	51997	Model	모델
122	52366	Manufacturer	제조업체
123	52653	Phy IO:	물리적 IO:
124	52978	Setting	환경
125	53272	Comm(Disabled)	통신(비활성화)
126	53560	SubID	하위 ID
127	53880	Ver.	버전
128	54238	SN	SN
129	54597	Model	모델
130	54966	Manufacturer	제조업체
131	55454	Phy IO:	물리적 IO:
132	55779	Setting	환경
133	56072	DAQ	DAQ
134	56349	SubID	하위 ID
135	56669	Ver.	버전
136	57027	SN	SN
137	57386	Model	모델
138	57755	Manufacturer	제조업체
139	58243	Phy IO:	물리적 IO:
140	58568	Setting	환경
141	58868	PowerMeter	파워미터
142	59152	SubID	하위 ID
143	59472	Ver.	버전
144	59830	SN	SN
145	60189	Model	모델
146	60558	Manufacturer	제조업체
147	61046	Phy IO:	물리적 IO:
148	61371	Setting	환경
149	61801	InstScan	InstScan
150	62079	Available Inst. Lists:	사용 가능한 기관 기울기:
151	62976	Can_Log List	Can_Log 목록
152	63939	CAN Setting	CAN 설정
153	65593	VisDisplay	Vis디스플레이
154	66033	Multicolumn Listbox	다중 열 목록 상자
155	67638	Waveform Graph 13	파형 그래프 13
156	69330	Waveform Graph 12	파형 그래프 12
157	71022	Waveform Graph 11	파형 그래프 11
158	72714	Waveform Graph 10	파형 그래프 10
159	74405	Waveform Graph 9	파형 그래프 9
160	76095	Waveform Graph 8	파형 그래프 8
161	77785	Waveform Graph 7	파형 그래프 7
162	79514	Waveform Graph 6	파형 그래프 6
163	81204	Waveform Graph 5	파형 그래프 5
164	82894	Waveform Graph 4	파형 그래프 4
165	84584	Waveform Graph 3	파형 그래프 3
166	86255	Waveform Graph 2	파형 그래프 2
167	87943	Waveform Graph	파형 그래프
168	89067	InputMeas Refnum	입력 측정 참조 번호
169	89275	Power	힘
170	89618	Setting	환경
171	89837	SubID	하위 ID
172	90129	Ver.	버전
173	90418	SN	SN
174	90708	Model	모델
175	91008	Manufacturer	제조업체
176	91441	IO	IO
177	91713	OutputMeas Refnum	출력 측정 참조 번호
178	91923	Power	힘
179	92266	Setting	환경
180	92485	SubID	하위 ID
181	92777	Ver.	버전
182	93066	SN	SN
183	93356	Model	모델
184	93656	Manufacturer	제조업체
185	94089	IO	IO
186	94345	SystemState	시스템 상태
187	94607	Cluster	무리
188	94874	Value	값
189	95180	Direction	방향
190	95476	Name	이름
191	95777	OP Info	OP 정보
192	96263		
193	96779	Battery Model:	배터리 모델:
194	97095	Lot No.	로트 번호
195	97444	FileName:	파일 이름:
196	97927		
197	98413	Department:	부서:
198	98857		
199	99343	Operator:	연산자:
200	99735	ExecSeqList	ExecSeq목록
201	100241	discharge_table	배출_테이블
202	100458	Numeric Control	수치 제어
